Price,Close,High,Low,Open,Volume,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,Bollinger_High,Bollinger_Low,Bollinger_Middle,Volume_SMA_20,ATR_14
2025-09-22,256.0799865722656,256.6400146484375,248.1199951171875,248.3000030517578,105517400,,,,,,,,,,,0.0
2025-09-23,254.42999267578125,257.3399963378906,253.5800018310547,255.8800048828125,60275200,,,,,,,,,,,0.0
2025-09-24,252.30999755859372,255.7400054931641,251.0399932861328,255.22000122070312,42303700,,,,,,,,,,,0.0
2025-09-25,256.8699951171875,257.1700134277344,251.7100067138672,253.2100067138672,55202100,,,,,,,,,,,0.0
2025-09-26,255.4600067138672,257.6000061035156,253.77999877929688,254.1000061035156,46076300,,,,,,,,,,,0.0
2025-09-29,254.42999267578125,255.0,253.00999450683597,254.55999755859372,40127700,,,,,,,,,,,0.0
2025-09-30,254.6300048828125,255.9199981689453,253.1100006103516,254.8600006103516,37704300,,,,,,,,,,,0.0
2025-10-01,255.4499969482422,258.7900085449219,254.92999267578125,255.0399932861328,48713900,,,,,,,,,,,0.0
2025-10-02,257.1300048828125,258.17999267578125,254.1499938964844,256.5799865722656,42630200,,,,,,,,,,,0.0
2025-10-03,258.0199890136719,259.239990234375,253.9499969482422,254.6699981689453,49155600,255.48099670410156,256.00668221866846,,,,,,,,,0.0
2025-10-06,256.69000244140625,259.07000732421875,255.0500030517578,257.989990234375,44664100,255.54199829101563,256.13092225916625,,,,,,,,,0.0
2025-10-07,256.4800109863281,257.3999938964844,255.42999267578125,256.8099975585937,31955800,255.74700012207032,256.19439293683206,,,,,,,,,0.0
2025-10-08,258.0599975585937,258.5199890136719,256.1099853515625,256.5199890136719,36496900,256.32200012207034,256.53359377715236,,,,,,,,,0.0
2025-10-09,254.0399932861328,258.0,253.13999938964844,257.8099975585937,38322000,256.0389999389648,256.08021186969427,42.75792234057196,,,,,,,,4.165718078613273
2025-10-10,245.2700042724609,256.3800048828125,244.0,254.94000244140625,61999100,255.0199996948242,254.1147195792882,25.737610838426846,,,,,,,,4.752452850341789
2025-10-13,247.66000366210935,249.69000244140625,245.55999755859372,249.3800048828125,38142900,254.34300079345704,252.94113486707383,33.50577288548939,,,,,,,,4.728706087384899
2025-10-14,247.7700042724609,248.8500061035156,244.6999969482422,246.6000061035156,35478000,253.65700073242186,252.0009293044169,33.84875334723597,,,,,,,,4.687370592234079
2025-10-15,249.33999633789065,251.82000732421875,247.47000122070312,249.4900054931641,33893600,253.0460006713867,251.517123310503,38.70807602132487,,,,,,,,4.66327312875419
2025-10-16,247.4499969482422,249.0399932861328,245.1300048828125,248.25,39777000,252.0779998779297,250.77764579009192,35.342326944704965,,,,,,,,4.630895866348759
2025-10-17,252.2899932861328,253.3800048828125,247.2700042724609,248.0200042724609,49147000,251.50500030517577,251.05261806209936,47.848281038781614,,,,261.1594400605872,245.82655694869015,253.49299850463868,46879140.0,4.736546205206104
2025-10-20,262.239990234375,264.3800048828125,255.6300048828125,255.88999938964844,90483000,252.05999908447265,253.0866857297858,63.484622654239686,,,,262.30736930576967,245.29462806971858,253.80099868774414,46127420.0,5.261793733168503
2025-10-21,262.7699890136719,265.2900085449219,261.8299865722656,261.8800048828125,46695900,252.68899688720703,254.847286326856,64.10203171286491,,,,263.58134280611387,244.8546542031635,254.21799850463867,45448455.0,5.13309575027477
2025-10-22,257.25,262.8500061035156,255.42999267578125,262.7900085449219,30583693,252.60799713134764,255.2841433583367,53.88325213493768,,,,263.87449879187767,245.0554984615403,254.464998626709,44862454.65,5.296447012950456
