Price,Close,High,Low,Open,Volume,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,Bollinger_High,Bollinger_Low,Bollinger_Middle,Volume_SMA_20,ATR_14
2024-10-21,164.54437255859375,165.09196077616048,160.30306672052615,162.2644184868507,77090000,,,,,,,,,,,0.0
2024-10-28,170.5379180908203,181.2208173051562,163.23014914154422,168.00907703786885,219763900,,,,,,,,,,,0.0
2024-11-04,177.5669403076172,180.28494968133492,167.27232769682738,169.18389589749214,120789400,,,,,,,,,,,0.0
2024-11-11,171.732666015625,181.6887597339031,170.46823785970153,177.79592344402596,129281400,,,,,,,,,,,0.0
2024-11-18,164.03659057617188,178.0846390728823,162.98124709882325,172.65857116898286,160906300,,,,,,,,,,,0.0
2024-11-25,168.20819091796875,169.07438135340104,164.8828594482006,165.3607476662302,87145700,,,,,,,,,,,0.0
2024-12-02,173.94293212890625,175.28699575923682,167.82989076857774,168.02900961842732,120471500,,,,,,,,,,,0.0
2024-12-09,188.986572265625,194.75114366150655,172.88755586438208,173.19620752097757,208057700,,,,,,,,,,,0.0
2024-12-16,190.7879943847656,200.76546023933528,184.61810708296372,192.2432414262158,218333100,,,,,,,,,,,0.0
2024-12-23,192.1335906982422,196.11063004330265,189.53207169387397,191.99404625854905,67016300,176.2477767944336,178.8321927345252,,,,,,,,,0.0
2024-12-30,191.166748046875,192.58214696582635,186.89069562306884,189.1832245312192,70698600,178.9100143432617,181.07483915495243,,,,,,,,,0.0
2025-01-06,191.4159240722656,200.34681359939225,189.69155028344463,193.34962211958296,107580800,180.99781494140626,182.9550364126457,,,,,,,,,0.0
2025-01-13,195.3630828857422,196.58908164731528,186.75115984037157,189.4523601784437,106325100,182.77742919921874,185.21104486229962,,,,,,,,,0.0
2025-01-20,199.5594024658203,201.6326298949142,194.56567327322847,198.423107628496,107000800,185.5601028442383,187.81983715384882,80.63884694577622,,,,,,,,10.889434729297289
2025-01-27,203.3570251464844,204.8122722439576,190.06036297164408,191.784752150563,140460900,189.49214630126954,190.64478042523712,82.48665611389796,,,,,,,,11.165325768084163
2025-02-03,184.7377014160156,206.37715764398664,182.6445348609554,200.03782497442728,220681000,191.1450973510742,189.5707660599241,54.84772295814924,,,,,,,,12.062989840580384
