Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2024-10-07,162.5232696533203,163.18036025385564,159.69572765985316,160.16366525210546,29488400
2024-10-14,162.70248413085938,166.94377464861765,162.04537828969026,162.92151941124908,96880400
2024-10-21,164.5443572998047,165.0919454665916,160.30305185504858,162.2345363751009,98036500
2024-10-28,170.53790283203125,181.22080109052044,163.23013453661386,168.0090620053465,219763900
2024-11-04,177.56692504882812,180.2849341889803,167.27231332268116,169.1838813590799,120789400
2024-11-11,171.73265075683594,181.68874359049533,170.46822271325942,177.79590764650442,129281400
2024-11-18,164.03659057617188,178.0846390728823,162.98124709882325,172.65857116898286,160906300
2024-11-25,168.20819091796875,169.07438135340104,164.8828594482006,165.3607476662302,87145700
2024-12-02,173.94293212890625,175.28699575923682,167.82989076857774,168.02900961842732,120471500
2024-12-09,188.986572265625,194.75114366150657,172.88755586438208,173.19620752097757,208057700
2024-12-16,190.78799438476562,200.76546023933528,184.61810708296375,192.2432414262158,218333100
2024-12-23,192.13360595703125,196.11064561793862,189.53208674605662,191.99406150625578,67016300
2024-12-30,191.16676330566406,192.5821623375915,186.89071054054654,189.1832396316849,70698600
2025-01-06,191.4159393310547,200.3468295701104,189.69156540477465,193.34963753251745,107580800
2025-01-13,195.36306762695312,196.58906629276984,186.75114525421475,189.45234538131032,106325100
2025-01-20,199.5594024658203,201.6326298949142,194.56567327322847,198.42310762849596,107000800
2025-01-27,203.35702514648438,204.8122722439576,190.06036297164408,191.784752150563,140460900
2025-02-03,184.7377166748047,206.37717469013094,182.64454994685505,200.0378414969614,220681000
2025-02-10,184.62806701660156,187.5884168360873,181.23912183787627,186.74118814600783,108268600
2025-02-17,179.076171875,185.35570213389613,178.49805484578573,184.99687139883912,105106800
2025-02-24,169.7266387939453,182.5249089148029,166.22805073838262,181.39859142518327,195320500
2025-03-03,173.29502868652344,174.40142226145525,165.26122273215574,171.37129246650488,172801200
2025-03-10,164.9522247314453,167.9125745565006,160.8456028517207,167.71321231450338,175315900
2025-03-17,163.64535522460938,165.9504979673469,156.3906299864857,164.68316280458112,172299000
2025-03-24,154.0056610107422,170.27140788224872,153.30713518011623,166.7188920350187,157132700
2025-03-31,145.29400634765625,158.0770818186046,145.0744674917677,152.78821750017033,219461000
2025-04-07,156.80975341796875,159.21469220796257,140.23466044292627,141.25252107084486,281058700
2025-04-14,150.84231567382812,161.38011963425194,148.1879024535801,159.66373328331863,119118500
2025-04-21,161.61962890625,165.75092760525033,145.79295993341864,148.56711622166557,186077700
2025-04-28,163.68527221679688,164.62329914267073,155.07340421101753,162.08862869700465,147454100
2025-05-05,152.42897033691406,165.0424046545791,147.52928586839812,162.65742824822908,260043100
2025-05-12,165.84072875976562,168.99409119137468,155.8318095553471,157.15901618434813,211270400
2025-05-19,168.11593627929688,176.39849563144705,162.55763515975903,164.16425211267818,260525600
2025-05-26,171.3790740966797,174.90165417708144,167.0881079964574,169.8023928214017,154736900
2025-06-02,173.31497192382812,174.1332558504034,164.93263217415281,167.48724942255976,182708900
2025-06-09,174.3029022216797,180.72937000446453,172.02769521154994,174.1731705641841,170953800
2025-06-16,166.4910888671875,177.20151062924683,165.312150640077,174.57385593488013,156729600
2025-06-23,178.37046813964844,178.52032800475203,161.85524021845205,166.12142890519885,273611200
2025-06-30,179.36956787109375,181.0680456745902,173.37492956805673,180.61845085089314,150102000
2025-07-07,180.02899169921875,181.26787392679407,172.61562375057437,178.89999654459535,181179000
2025-07-14,184.89462280273438,186.25340807875182,179.51942564177293,180.84823894623622,165096200
2025-07-21,193.0073699951172,197.77311186486816,185.98365311498355,186.08356985457783,263812800
2025-07-28,188.96099853515625,197.42343097283185,187.65217158882444,193.47694849201577,198135500
2025-08-04,201.24000549316406,202.42894452614235,189.9501003353796,190.11994659078312,150196200
2025-08-11,203.71778869628906,206.25552748751167,197.3334994152865,200.7604422919799,144735000
2025-08-18,205.9058380126953,208.353645687597,196.42432786342263,204.01752749261067,134323900
2025-08-25,212.71974182128906,214.45817715575657,205.09655530656403,206.24552153900297,153483600
2025-09-01,234.79000854492188,235.54932393536487,206.01574061889636,208.25374448647364,249132200
2025-09-08,240.58482360839844,242.03352483599178,233.02158086034913,235.25958467938932,163047700
2025-09-15,254.72000122070312,256.0,244.66000366210938,244.66000366210938,213412400
2025-09-22,246.5399932861328,255.77999877929688,240.74000549316406,254.42999267578125,136643100
2025-09-29,245.35000610351562,251.14999389648438,238.61000061035156,247.85000610351562,154621200
2025-10-06,236.57000732421875,251.32000732421875,235.83999633789062,244.77999877929688,166761699
